MPN,Per board,Boards,Required,DigiKey stock observed,Checked UTC date,Product URL,Assembly
SRV05-4HTG-D,1,3,3,59216,2026-09-19,https://www.digikey.com/en/products/detail/littelfuse-inc/SRV05-4HTG-D/10230852,SMD
ERJ-3EKF5101V,2,3,6,419442,2026-09-19,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-3EKF5101V/1746427,SMD
61300411121,1,3,3,143431,2026-09-19,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/61300411121/4846827,THT
0466002.NR,1,3,3,9915,2026-09-19,https://www.digikey.com/en/products/detail/littelfuse-inc/0466002-NR/521355,SMD
B360A-13-F,1,3,3,306959,2026-09-19,https://www.digikey.com/en/products/detail/diodes-incorporated/B360A-13-F/724980,SMD
SMCJ24CA,1,3,3,35243,2026-09-19,https://www.digikey.com/en/products/detail/littelfuse-inc/SMCJ24CA/762395,SMD
GRM32ER71H475KA88L,4,3,12,812354,2026-09-19,https://www.digikey.com/en/products/detail/murata-electronics/GRM32ER71H475KA88L/586595,SMD
TPSM63603V3RDHR,1,3,3,1820,2026-09-19,https://www.digikey.com/en/products/detail/texas-instruments/TPSM63603V3RDHR/16585661,SMD
RC0603FR-0716K5L,1,3,3,158031,2026-09-19,https://www.digikey.com/en/products/detail/yageo/RC0603FR-0716K5L/726969,SMD
GCM32ER70J476KE19L,4,3,12,106406,2026-09-19,https://www.digikey.com/en/products/detail/murata-electronics/GCM32ER70J476KE19L/1763982,SMD
691218410002,8,3,24,864,2026-09-19,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/691218410002/11478586,THT
74650195,2,3,6,4352,2026-09-19,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/74650195/16608622,THT
ERJ-3EKF22R0V,2,3,6,258971,2026-09-19,https://www.digikey.com/en/products/detail/panasonic-industry/ERJ-3EKF22R0V/1746340,SMD
BSC016N06NSATMA1,3,3,9,27513,2026-09-19,https://www.digikey.com/en/products/detail/infineon-technologies/BSC016N06NSATMA1/3719792,SMD
LM74800QDRRRQ1,2,3,6,8304,2026-09-19,https://www.digikey.com/en/products/detail/texas-instruments/lm74800qdrrrq1/13627158,SMD
PSMN1R8-80SSEJ,2,3,6,1802,2026-09-19,https://www.digikey.com/en/products/detail/nexperia-usa-inc/PSMN1R8-80SSEJ/27351652,SMD
TPS2492PWR,1,3,3,5217,2026-09-19,https://www.digikey.com/en/products/detail/texas-instruments/TPS2492PWR/2600475,SMD
CSS4J-4026R-1L00F,1,3,3,2851,2026-09-19,https://www.digikey.com/en/products/detail/bourns-inc/CSS4J-4026R-1L00F/6023761,SMD
RT0603BRD07115KL,1,3,3,20140,2026-09-19,https://www.digikey.com/en/products/detail/yageo/RT0603BRD07115KL/1072207,SMD
RT0603BRD0710KL,2,3,6,334729,2026-09-19,https://www.digikey.com/en/products/detail/yageo/RT0603BRD0710KL/1072198,SMD
